Category	Key	Round 1 Wins	Round 1 Losses	Round 1 Sum	Round 2 Wins	Round 2 Losses	Round 2 Sum	Round 3 Wins	Round 3 Losses	Round 3 Sum
Printings Artists	Jose Cabrera	0	2	66.76	0	0	0.00	0	0	0.00
Printings Artists	Ryan Yee	37	17	3129.55	22	15	2061.67	16	6	1218.61
Printings Artists	Eric Deschamps	83	24	7268.38	64	19	5362.14	40	24	3623.22
Printings Artists	Qiao Dafu	2	5	257.55	1	1	88.43	0	1	40.97
Printings Artists	Randy Elliott	2	16	600.67	0	2	78.94	0	0	0.00
Printings Artists	Hideaki Takamura	13	14	1437.57	8	5	709.26	6	2	411.21
Printings Artists	Christopher Burdett	1	8	213.28	0	1	14.16	0	0	0.00
Printings Artists	Alton Lawson	1	0	79.33	0	1	10.38	0	0	0.00
Printings Artists	Richard Wright	21	13	1997.67	13	8	1206.00	8	5	802.72
Printings Artists	Patrick Ho	1	3	116.25	0	1	31.44	0	0	0.00
Printings Artists	Clint Cearley	50	24	4364.37	24	26	2419.96	12	12	1206.74
Printings Artists	Vincent Evans	1	3	176.72	1	0	68.09	0	1	13.67
Printings Artists	Scott Kirschner	16	25	1776.28	10	6	827.11	4	6	432.87
Printings Artists	Henry Van Der Linde	2	5	253.01	0	2	56.16	0	0	0.00
Printings Artists	Evan Shipard	4	4	458.40	1	3	196.11	0	1	36.20
Printings Artists	Larry Elmore	3	6	403.83	2	1	184.09	2	0	155.50
Printings Artists	Slawomir Maniak	60	39	5575.40	32	28	3113.19	16	16	1723.11
Printings Artists	Brynn Metheney	1	0	77.11	1	0	76.23	0	1	49.84
Printings Artists	Efflam Mercier	0	2	55.20	0	0	0.00	0	0	0.00
Printings Artists	Ray Lago	10	17	1118.79	3	7	422.11	3	0	190.27
Printings Artists	Raf Sarmento	1	2	155.85	1	0	89.17	1	0	69.89
Printings Artists	Yefim Kligerman	4	2	376.96	1	3	178.93	0	1	39.98
Printings Artists	Ron Chironna	2	2	209.77	1	1	74.70	0	1	46.38
Printings Artists	Zhao Tan	1	1	93.64	0	1	25.17	0	0	0.00
Printings Artists	Dave DeVries	1	1	96.43	1	1	103.40	1	0	86.28
Printings Artists	Erica Gassalasca-Jape	2	0	115.69	0	2	25.13	0	0	0.00
Printings Artists	Rob Alexander	93	51	8280.42	63	31	5487.26	40	23	3303.70
Printings Artists	Darbury Stenderu	0	1	45.32	0	0	0.00	0	0	0.00
Printings Artists	Deruchenko Alexander	10	8	992.99	5	5	501.78	2	3	214.94
Printings Artists	Robbie Trevino	4	5	413.83	3	1	289.20	1	2	162.85
Printings Artists	L. A. Williams	11	17	1160.78	5	6	507.96	3	2	303.94
Printings Artists	Scott Chou	29	27	2878.76	15	14	1537.89	8	7	830.92
Printings Artists	April Lee	3	0	263.03	3	0	251.61	3	0	211.13
Printings Artists	Marco Nelor	18	10	1559.73	8	10	828.60	6	2	459.70
Printings Artists	Jason Chan	62	12	5336.39	45	17	4178.08	38	7	2902.13
Printings Artists	Ron Lemen	0	1	23.91	0	0	0.00	0	0	0.00
Printings Artists	John Matson	47	59	4671.40	17	30	2100.16	12	5	941.84
Printings Artists	James Zapata	10	6	829.99	4	6	518.23	3	1	227.59
Printings Artists	Craig J Spearing	15	16	1516.26	6	9	669.42	4	2	380.66
Printings Artists	Jon Foster	12	7	1168.52	6	6	613.53	3	3	299.80
Printings Artists	spork;	1	0	51.11	0	1	48.42	0	0	0.00
Card Sets/Printings	CPK	12	0	987.01	8	4	748.23	7	1	543.77
Card Sets/Printings	V09	13	0	1117.48	13	2	1160.12	13	0	985.42
Card Sets/Printings	PO2	45	110	5731.30	19	26	2183.02	14	5	1127.61
Card Sets/Printings	MRD	172	119	15878.14	100	72	8970.67	52	48	5001.82
Card Sets/Printings	DRK	32	87	4733.59	15	17	1424.51	7	8	798.50
Card Sets/Printings	BOK	71	94	7796.27	26	45	3199.73	16	10	1280.94
Card Sets/Printings	EXP	43	2	3364.41	39	4	3087.64	33	6	2524.23
Card Sets/Printings	DKA	84	74	8226.51	49	35	4578.68	28	21	2660.45
Card Sets/Printings	pWOR	1	0	77.02	0	1	30.31	0	0	0.00
Card Sets/Printings	pWOS	1	0	92.82	1	0	52.54	1	0	91.04
Card Sets/Printings	MIR	127	206	14398.74	56	73	5796.79	26	30	2817.20
Card Sets/Printings	HML	18	97	3988.18	3	15	582.49	3	0	209.69
Card Sets/Printings	VMA	224	90	19795.47	185	50	15698.77	143	42	12042.16
Card Sets/Printings	JOU	90	75	8613.87	41	49	4234.67	20	21	2140.79
Card Sets/Printings	RAV	174	117	16141.01	90	84	9223.64	44	46	4443.60
Card Sets/Printings	SOM	131	103	12538.03	76	55	6910.34	45	31	3961.95
Card Sets/Printings	pPRE	220	57	18979.13	152	68	13401.91	92	60	8291.56
Card Sets/Printings	WTH	63	104	7155.17	31	32	2940.00	15	16	1512.24
Card Sets/Printings	pPRO	5	0	433.26	5	0	391.61	4	1	313.29
Card Sets/Printings	8ED	169	173	17091.91	103	66	9541.97	66	37	5757.91
Card Sets/Printings	pREL	9	4	804.27	9	0	642.76	5	4	540.32
Card Sets/Printings	pMPR	50	3	4058.92	44	6	3611.60	34	10	2981.97
Card Sets/Printings	LEA	146	134	14814.90	110	46	9742.25	88	22	7393.18
Card Sets/Printings	pCMP	11	1	1001.09	10	1	842.23	8	2	651.91
Card Sets/Printings	CHK	147	143	14603.16	66	82	7191.72	34	32	3524.93
Card Sets/Printings	THS	131	103	12749.55	76	55	7198.22	40	36	4131.57
Card Sets/Printings	LEB	148	134	14962.63	111	47	9858.30	89	22	7476.71
